,caseno,country,region,add1yr,age,agehrp,aggdtwpew11g,ahchuk11,carer,carsnoc,cenheat,clients01,clients02,clients03,clients04,clients05,clients06,clients07,clients08,clients09,clients10,clients11,clients12,clients13,clients14,clients15,clients16,clients17,clients18,clients19,clients20,clients21,cobg,cobhukrc,concealed,depedhuk11,depemhuk11,dephdhuk11,dephshuk11,deprived,disability,dpcfamuk11,ecopuk,empstat,estnaturei,ethhuk11,ethnicityew,everwork,fmspuk11,health,hhldlang11,hlqupuk11,hours,housecarer,identity,illhuk11g,indgpuk11,intention,iscog,landlordew,langprf,larpuk,lastyrwrkg,mainglangg,marstat,meighuk11,mighuk11,mltrlg,movefromg,moveregion,natidbpuk11,natidepuk11,natidipuk11,natidnipuk11,natidopuk11,natidspuk11,natidwpuk11,nssec,nsshuk11,occg,passports,penexactpuk11,penhuk11,penpuk11,popbasesec,position,pproomhuk11,psptelog,relato,religionew,residtype,rtntypeg,samesex,scaddtyp,scghuk11,scgpuk11c,selfcon,sex,single,sizhuk,socmin,sscaddcpew11,stapuk11,student,supervisor,tenduk11,tenure,transport,typaccom,unemphist,visitorsg,wg1famuk11,wkpladdewni,wlshread,wlshspeak,wlshstnd,wlshwrit,wpzhome,wrkplaceew,yradindstud,yrarryearg
1378368,353359,1,2,1,70,70,-9,5,1,1,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,2,0,0,0,0,1,3,1,12,1,-9,1,1,1,3,2,1,10,-9,0,-9,0,6,-9,73,-9,-9,1,11,1,2,2,0,2,1,-9,3,1,7,4,3,4,4,33,7,54,1,1,6,1,1,-9,1,-9,1,2,2,1,-9,-9,-9,-9,1,2,2,2,544,1,-9,2,2,0,1,-9,1,12,0,0,-9,-9,-9,-9,-9,-9,-9,0,-9
1464864,1217543,1,4,1,48,50,4,7,1,1,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,2,1,0,0,0,2,3,1,2,1,-9,1,1,-9,3,2,1,10,4,0,-9,0,3,-9,93,-9,-9,1,1,1,2,2,0,2,1,-9,3,1,7,4,3,4,4,34,27,92,1,0,-9,0,1,-9,1,-9,1,2,2,1,-9,-9,4,4,1,1,2,2,926,1,-9,2,2,1,2,7,2,-9,0,2,1,-9,-9,-9,-9,4,4,0,-9
1664727,2436424,1,4,1,60,58,-9,10,1,1,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,2,0,0,0,0,1,3,1,12,1,-9,1,1,1,3,2,1,15,-9,0,-9,0,16,-9,23,-9,-9,1,3,1,2,2,0,3,1,-9,3,1,7,4,3,4,4,7,4,23,1,1,-9,0,1,-9,1,-9,1,1,2,1,-9,-9,2,2,1,2,2,3,231,1,-9,2,1,1,2,-9,2,2,0,1,-9,-9,-9,-9,-9,-9,-9,0,-9
2133180,336318,1,8,-9,22,80,-9,1,-9,0,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,-9,0,0,0,1,2,-9,-9,-9,-9,-9,1,-9,-9,-9,-9,1,-9,-9,0,-9,0,-9,-9,-9,2,-9,-9,-9,-9,1,1,0,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,7,-9,-9,-9,4,-9,2,-9,2,-9,4,-9,2,-9,-9,-9,-9,-9,1,2,1,1,-9,-9,-9,1,-9,3,4,-9,4,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
2300839,2588903,1,6,1,28,55,-9,10,1,0,4,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,2,0,1,1,0,3,3,1,7,1,-9,1,1,1,8,1,1,12,-9,0,-9,1,3,-9,96,1,-9,4,4,1,1,2,0,7,1,-9,2,2,7,4,3,4,4,37,25,92,8,0,-9,0,1,-9,2,-9,4,1,2,1,-9,-9,4,4,1,1,2,3,921,1,-9,2,2,4,4,-9,2,4,0,1,-9,-9,-9,-9,-9,-9,-9,0,-9
706574,1938687,1,10,1,10,39,-9,4,1,1,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,2,2,0,0,0,0,1,3,10,-9,-9,-9,1,1,-9,7,1,1,-9,-9,0,-9,0,-9,-9,-9,-9,-9,4,-9,1,1,2,0,3,1,-9,1,4,7,4,3,4,4,-9,25,-9,1,0,-9,0,1,-9,1,-9,4,1,2,1,-9,-9,3,-9,1,2,1,3,-9,1,1,1,-9,1,2,-9,2,-9,0,1,-9,-9,-9,-9,-9,-9,-9,0,-9
696900,1804667,1,10,1,36,36,3,8,1,1,6,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,2,0,1,1,0,3,3,14,1,1,-9,1,1,-9,3,2,1,14,2,0,-9,1,16,-9,53,1,-9,3,1,1,1,2,0,7,1,-9,1,4,7,4,3,4,4,12,12,61,8,0,-9,0,1,-9,2,-9,-9,1,2,1,-9,-9,4,4,1,2,2,5,612,1,-9,2,1,4,4,7,3,-9,0,1,1,-9,-9,-9,-9,4,4,0,-9
161617,2795972,2,11,1,34,43,5,6,2,2,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,4,2,0,0,0,0,1,3,2,1,1,-9,1,1,-9,3,1,1,14,2,1,-9,0,15,-9,41,-9,-9,3,1,1,1,2,0,2,1,-9,3,4,7,4,3,4,1,13,33,41,1,0,-9,0,1,-9,2,-9,3,2,2,1,-9,-9,4,4,1,2,2,3,411,1,-9,2,2,1,2,7,3,-9,0,2,1,0,0,0,0,3,3,0,-9
1062868,1234855,1,9,1,43,43,1,6,1,1,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,11,11,2,1,0,0,0,2,3,11,2,1,-9,4,4,-9,3,2,3,16,3,0,-9,0,3,-9,82,-9,1,1,1,9,2,2,0,3,1,-9,1,4,7,4,3,4,4,21,21,81,1,0,-9,0,1,-9,2,-9,-9,1,2,1,-9,-9,4,4,1,1,2,4,813,1,-9,2,1,1,2,10,3,-9,0,2,1,-9,-9,-9,-9,3,3,0,7
1818931,1904729,1,6,1,45,47,-9,9,2,2,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,2,0,0,0,0,1,3,12,14,1,-9,1,1,1,3,2,1,15,-9,1,-9,0,16,-9,53,-9,-9,1,4,1,2,2,0,2,1,-9,2,2,7,4,3,4,4,30,2,61,1,0,-9,0,1,-9,2,-9,1,2,2,1,-9,-9,2,2,1,2,2,4,612,1,-9,2,2,1,2,-9,3,4,0,1,-9,-9,-9,-9,-9,-9,-9,0,-9
